Gollini,                       Atalanta
Toloi,                         Atalanta
Caldara,                       Atalanta
Palomino,                      Atalanta
Gosens,                        Atalanta
Gomez,                         Atalanta
Freuler,                       Atalanta
De Roon,                       Atalanta
Hateboer,                      Atalanta
Ilicic,                        Atalanta
Pasalic,                       Atalanta
Sportiello,                    Atalanta
Tameze,                        Atalanta
Czyborra,                      Atalanta
Muriel,                        Atalanta
Malinovskyi,                   Atalanta
Castagne,                      Atalanta
Zapata,                        Atalanta
Oblak,                         Atletico Madrid
Thomas,                        Atletico Madrid
Koke,                          Atletico Madrid
Saul Niguez,                   Atletico Madrid
Morata,                        Atletico Madrid
Correa,                        Atletico Madrid
Lemar,                         Atletico Madrid
Renan Lodi,                    Atletico Madrid
Savic,                         Atletico Madrid
Felipe,                        Atletico Madrid
Vrsaljko,                      Atletico Madrid
Adan,                          Atletico Madrid
Gimenez,                       Atletico Madrid
Llorente,                      Atletico Madrid
Diego Costa,                   Atletico Madrid
Vitolo,                        Atletico Madrid
Carrasco,                      Atletico Madrid
Hermoso,                       Atletico Madrid
Ter Stegen,                    Barcelona
Semedo,                        Barcelona
Pique,                         Barcelona
Sergio Busquets,               Barcelona
Luis Suarez,                   Barcelona
Messi,                         Barcelona
Lenglet,                       Barcelona
Jordi Alba,                    Barcelona
Sergi Roberto,                 Barcelona
F. de Jong,                    Barcelona
Vidal,                         Barcelona
Neto,                          Barcelona
Inaki Pena,                    Barcelona
Rakitic,                       Barcelona
Dembele,                       Barcelona
Griezmann,                     Barcelona
Junior Firpo,                  Barcelona
Ricard Puig,                   Barcelona
Fati,                          Barcelona
Ronald Araujo,                 Barcelona
Monchu,                        Barcelona
Mingueza,                      Barcelona
Reis,                          Barcelona
Neuer,                         Bayern Munich
Thiago Alcantara,              Bayern Munich
Lewandowski,                   Bayern Munich
Perisic,                       Bayern Munich
Boateng,                       Bayern Munich
Goretzka,                      Bayern Munich
Davies,                        Bayern Munich
Gnabry,                        Bayern Munich
Muller,                        Bayern Munich
Alaba,                         Bayern Munich
Kimmich,                       Bayern Munich
Ulreich,                       Bayern Munich
Hoffmann,                      Bayern Munich
Odriozola,                     Bayern Munich
Sule,                          Bayern Munich
Javi Martinez,                 Bayern Munich
Coutinho,                      Bayern Munich
Cuisance,                      Bayern Munich
Hernandez,                     Bayern Munich
Tolisso,                       Bayern Munich
Coman,                         Bayern Munich
Zirkzee,                       Bayern Munich
Musiala,                       Bayern Munich
Burki,                         Borussia Dortmund
Zagadou,                       Borussia Dortmund
Hakimi,                        Borussia Dortmund
Sancho,                        Borussia Dortmund
Guerreiro,                     Borussia Dortmund
Hummels,                       Borussia Dortmund
Haaland,                       Borussia Dortmund
T. Hazard,                     Borussia Dortmund
Piszczek,                      Borussia Dortmund
Emre Can,                      Borussia Dortmund
Witsel,                        Borussia Dortmund
Hitz,                          Borussia Dortmund
Dahoud,                        Borussia Dortmund
Gotze,                         Borussia Dortmund
Akanji,                        Borussia Dortmund
Brandt,                        Borussia Dortmund
Schmelzer,                     Borussia Dortmund
Reyna,                         Borussia Dortmund
Caballero,                     Chelsea
A. Christensen,                Chelsea
Kante,                         Chelsea
Barkley,                       Chelsea
Abraham,                       Chelsea
Zouma,                         Chelsea
